sim	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
14	1	3	2	3	2	3	2	2	3	2	1	3	2	3	1	1	3	1	3	1	2	2	2	2	1	1	3	1	3	2	2	1	3	2	2	1	3	2	2	1	0	0
15	1	3	1	2	1	2	3	2	3	2	1	2	2	1	2	3	2	3	2	3	2	3	2	1	3	1	1	3	1	3	1	1	1	2	2	3	2	3	2	2	0	0
16	2	2	3	2	1	3	2	2	2	3	1	2	3	2	2	3	1	3	1	1	1	2	2	3	2	1	2	3	2	1	3	2	2	1	3	1	1	3	1	3	0	0
17	2	2	1	1	2	2	3	1	3	1	2	3	2	3	1	1	1	2	3	1	2	2	3	2	3	1	1	2	3	2	3	1	2	3	2	3	2	1	2	3	0	0
18	1	2	2	3	2	2	1	3	1	3	1	2	2	3	2	1	2	3	2	1	2	3	2	3	2	3	2	1	1	2	3	2	1	1	3	1	3	1	2	3	0	0
19	2	3	2	2	2	2	3	2	3	1	2	3	1	3	1	3	2	2	2	1	3	2	1	2	3	2	3	2	1	1	1	3	1	1	1	3	2	2	1	3	0	0
20	2	1	2	1	2	3	2	1	3	1	3	2	2	2	3	1	1	3	2	3	2	3	2	2	2	1	3	2	1	3	2	3	1	1	1	1	2	3	2	3	0	0
21	2	2	3	2	3	2	2	2	1	1	3	2	1	2	1	1	3	1	3	2	1	3	2	2	3	1	1	3	2	2	2	3	1	1	3	2	3	2	3	1	0	0
22	1	3	1	1	3	2	3	2	2	1	1	3	2	3	1	2	3	2	3	1	1	3	2	2	3	1	2	3	2	3	2	3	2	2	1	2	1	1	2	2	0	0
23	1	1	3	1	2	2	3	2	3	2	2	1	3	1	3	2	2	3	1	2	3	1	1	3	1	3	2	2	2	3	1	2	3	2	1	1	2	3	2	2	0	0
24	1	3	2	3	1	2	1	2	2	2	3	2	1	1	3	2	3	2	2	1	3	2	2	3	2	1	2	3	1	3	2	1	3	2	1	1	3	1	2	3	0	0
25	2	3	1	2	1	3	2	3	2	2	2	1	3	1	3	1	3	1	3	2	2	1	3	2	3	2	2	2	1	1	2	2	3	2	3	2	1	3	1	1	0	0
26	2	1	2	1	2	3	1	2	1	3	2	2	2	3	1	2	3	2	2	3	2	2	1	2	2	3	1	3	1	3	1	1	3	1	2	3	2	3	1	3	0	0
27	2	3	1	1	3	2	3	2	1	1	2	2	2	2	3	1	2	3	2	1	1	3	2	1	3	1	2	1	3	2	1	3	2	3	2	2	3	2	3	1	0	0
28	2	2	3	2	2	3	2	1	3	1	2	3	1	3	1	2	1	1	3	2	3	1	1	3	2	1	1	2	1	2	1	3	2	3	2	2	2	3	2	3	0	0
29	2	3	2	3	2	3	2	2	2	2	1	2	3	2	1	2	3	1	2	3	1	1	3	1	1	1	2	3	1	2	3	2	3	1	2	3	1	1	2	3	0	0
30	2	2	2	2	2	3	2	3	1	2	3	2	1	3	1	2	2	3	1	1	1	3	1	1	3	1	2	3	2	3	2	1	3	1	2	3	2	2	1	3	0	0
31	1	3	2	1	3	1	3	2	2	2	1	3	1	2	3	2	3	2	2	2	2	3	1	2	2	1	1	1	3	2	3	1	1	2	3	2	2	3	1	3	0	0
32	2	2	1	3	1	2	3	2	2	3	2	3	1	3	2	3	1	1	3	1	3	1	3	2	2	1	2	2	1	2	1	3	2	3	2	1	3	2	2	1	0	0
33	1	3	2	1	3	2	2	1	2	2	3	1	3	2	2	3	2	3	2	2	1	3	2	1	3	2	1	2	3	2	3	2	1	1	1	1	1	3	2	3	0	0
34	1	1	2	3	1	2	1	3	2	3	2	1	2	3	2	2	3	1	2	2	3	2	1	2	3	2	1	3	1	1	3	2	2	3	1	1	3	2	2	3	0	0
35	2	1	2	3	1	3	2	1	3	1	1	2	2	3	2	1	1	3	2	3	1	3	1	1	3	2	2	2	2	3	2	2	3	2	2	3	2	1	1	3	0	0
36	2	3	2	3	2	2	3	1	3	2	3	1	1	2	3	2	1	3	2	1	1	1	1	3	2	1	3	2	3	2	2	1	2	3	1	1	2	2	2	3	0	0
37	2	3	1	2	1	1	2	3	1	2	2	3	2	2	2	2	2	3	2	1	2	3	1	3	1	1	3	2	2	3	1	2	3	2	3	1	3	1	1	3	0	0
38	1	2	2	3	2	1	1	3	1	3	2	2	3	2	3	2	2	3	1	3	1	3	2	3	1	2	1	3	1	2	2	1	2	2	3	1	3	2	1	2	0	0
39	2	3	2	1	3	1	1	2	1	3	1	2	3	1	3	2	2	2	3	2	3	1	2	2	2	3	1	3	1	3	2	1	2	3	2	3	1	1	2	2	0	0
40	1	1	2	1	3	1	3	2	3	2	2	3	2	1	2	3	2	1	2	1	3	1	2	3	2	3	1	2	2	2	2	3	2	3	1	1	3	1	2	3	0	0
41	2	1	1	1	3	2	2	2	2	3	1	3	1	3	1	2	3	1	2	3	2	2	3	1	2	3	2	3	2	3	1	2	2	3	1	1	2	1	2	3	0	0
42	1	3	2	2	3	1	3	2	3	1	1	1	2	2	3	1	3	2	1	3	2	3	2	2	2	2	2	1	3	2	3	1	1	3	1	2	2	3	1	2	0	0
43	2	2	2	3	1	3	1	2	1	1	3	1	2	3	2	1	3	2	2	2	3	2	1	1	3	2	2	3	2	2	3	1	3	1	2	1	3	2	3	1	0	0
44	2	2	2	2	3	2	2	1	3	1	1	3	1	1	3	2	3	1	2	3	1	3	2	1	3	1	3	1	3	2	2	1	2	3	2	3	2	2	1	2	0	0
45	1	2	2	3	1	3	2	2	3	2	3	1	1	3	2	2	1	3	2	2	3	1	3	2	1	2	3	2	3	1	2	2	1	3	2	1	1	2	1	3	0	0
46	1	1	2	3	2	3	2	3	2	3	1	2	2	3	2	1	1	1	1	3	2	3	1	2	2	3	2	2	2	2	3	2	2	1	3	1	1	3	1	3	0	0
47	2	3	1	1	3	2	2	3	2	3	2	3	1	1	1	1	1	3	2	2	2	2	3	2	1	3	2	1	2	2	3	1	2	3	1	3	1	2	3	2	0	0
48	2	3	2	2	3	2	3	1	3	2	2	3	2	1	2	3	2	1	3	1	1	3	2	3	2	3	1	1	1	2	2	2	2	1	1	3	2	1	3	1	0	0
49	2	2	1	2	3	2	1	2	3	2	2	1	1	3	1	2	3	2	3	1	2	1	2	1	3	2	3	1	3	1	2	3	2	2	3	1	3	1	2	3	0	0
50	2	3	1	3	1	3	2	2	2	2	3	2	1	1	3	1	2	3	1	2	2	1	3	1	2	3	1	3	2	2	2	2	3	2	3	1	1	3	2	1	0	0
51	2	3	1	3	2	3	2	1	3	1	3	1	2	3	2	3	1	3	2	1	2	3	2	1	3	2	1	2	2	2	3	2	1	1	3	2	2	2	1	1	0	0
52	2	3	2	2	1	1	3	2	3	1	2	2	3	1	3	1	2	2	3	1	3	2	3	2	1	2	3	1	1	1	2	3	2	2	3	1	2	3	2	1	0	0
53	1	1	2	2	1	3	2	2	3	1	1	3	2	1	1	3	1	1	3	2	2	2	3	2	3	2	1	1	3	1	2	2	2	3	2	3	2	3	2	3	0	0
54	1	1	2	3	2	2	3	2	2	2	2	3	2	3	2	3	1	2	3	2	1	1	3	2	1	1	3	2	3	2	1	2	3	2	1	3	1	1	1	3	0	0
55	2	1	3	2	2	2	2	2	3	2	2	3	2	3	1	3	2	1	3	2	3	1	3	2	3	1	3	2	1	1	1	1	1	2	3	2	3	2	1	1	0	0
56	2	1	3	2	2	2	3	1	2	1	3	2	3	1	1	3	2	3	2	1	3	1	1	3	1	2	2	1	2	2	2	3	2	2	3	2	1	3	1	3	0	0
57	2	3	1	1	2	3	1	1	2	1	2	3	2	1	3	1	3	2	3	2	3	2	2	2	2	3	2	2	3	2	1	2	3	1	3	1	2	1	3	1	0	0
58	2	1	1	2	2	1	3	1	3	2	1	3	2	2	3	1	2	2	1	3	1	3	2	3	1	2	2	2	3	1	3	2	2	3	2	1	2	3	1	3	0	0
59	2	3	2	1	1	3	2	3	1	3	2	3	2	2	2	1	3	2	3	1	1	2	1	2	1	3	1	2	3	1	3	2	1	2	3	2	2	1	2	3	0	0
60	1	1	1	3	2	2	3	2	2	3	2	2	1	3	2	3	2	1	3	2	3	1	3	2	1	2	3	2	2	3	1	2	2	3	1	3	1	2	1	1	0	0
61	2	1	3	2	2	3	1	1	1	1	3	2	3	2	3	2	3	2	1	1	2	1	2	3	1	3	1	2	3	2	1	3	2	2	3	2	2	2	1	3	0	0
62	2	2	3	1	2	3	2	3	1	3	1	3	1	1	2	2	3	2	2	1	1	2	3	2	3	2	1	1	2	3	2	1	3	2	1	2	1	3	2	3	0	0
63	1	2	1	2	3	1	3	2	2	2	2	2	2	2	2	1	3	1	3	1	1	3	2	3	1	3	1	3	2	2	3	2	1	3	2	1	3	1	3	2	0	0
64	2	1	2	3	2	1	1	3	1	2	2	2	1	3	1	2	3	1	2	3	2	3	2	2	3	2	2	2	1	3	2	3	1	3	1	1	3	2	1	3	0	0
65	2	1	3	2	1	1	2	2	3	2	3	2	1	2	2	3	1	2	3	2	2	1	3	2	3	1	2	2	3	1	3	2	1	1	3	1	3	2	1	3	0	0
66	2	1	2	1	3	1	3	1	2	3	1	2	2	2	3	2	3	2	1	3	2	3	1	2	3	2	1	1	3	2	1	2	1	3	2	3	2	1	2	3	0	0
67	1	3	2	2	1	2	2	1	3	2	2	3	2	3	1	3	1	2	3	1	3	2	1	1	3	1	3	1	3	2	2	2	2	1	3	1	3	2	2	2	0	0
68	1	2	2	2	2	3	2	2	3	2	3	1	1	1	1	3	2	2	3	2	1	3	2	3	2	2	3	1	2	3	1	3	1	2	1	3	2	1	1	3	0	0
69	1	3	1	2	3	2	2	3	2	2	2	2	1	3	1	3	2	1	2	2	3	2	3	2	3	2	2	3	1	1	1	3	2	1	3	1	2	1	1	3	0	0
70	1	2	3	2	1	1	2	3	2	2	3	2	1	1	3	2	3	1	3	2	3	2	3	1	1	2	1	3	2	2	3	2	1	1	1	2	2	3	2	3	0	0
71	2	1	2	3	1	2	3	2	3	1	1	3	1	2	2	3	2	3	1	2	3	2	1	1	3	2	2	2	1	3	2	3	2	1	1	2	2	3	1	3	0	0
72	2	3	2	1	2	1	3	1	2	3	2	2	3	1	1	3	2	3	1	2	2	2	1	3	1	2	2	2	3	2	3	1	1	3	2	3	1	2	3	1	0	0
73	2	2	2	1	3	2	3	1	2	2	2	2	3	1	3	2	3	1	3	1	3	1	2	2	2	3	2	2	1	1	1	1	3	2	3	1	3	2	3	1	0	0
74	2	2	1	3	2	1	3	1	3	2	3	2	3	2	1	1	2	3	1	2	3	2	3	1	3	1	3	1	2	2	1	2	3	2	2	3	2	1	1	2	0	0
75	2	2	2	2	2	1	3	1	3	2	3	2	3	2	3	1	2	3	2	2	3	1	3	1	3	1	2	2	3	1	3	1	1	1	1	2	2	3	2	1	0	0
76	1	1	3	2	2	3	2	3	2	2	3	2	3	1	3	1	3	1	2	1	2	1	2	2	3	2	1	2	3	1	3	2	2	2	2	3	1	1	3	1	0	0
77	1	2	1	2	3	1	2	3	1	2	2	3	1	2	3	1	2	2	2	3	1	2	3	2	2	3	1	3	2	1	3	1	3	2	3	1	3	2	1	2	0	0
78	1	1	3	1	3	2	1	3	1	2	2	2	2	3	2	2	2	2	1	2	3	2	3	1	1	3	1	3	2	1	3	1	3	2	2	2	3	2	3	1	0	0
79	2	3	1	3	1	3	1	2	1	3	2	2	3	1	2	3	2	3	2	3	1	2	1	2	2	1	3	2	3	2	1	2	1	1	1	3	2	3	2	2	0	0
80	1	2	1	3	1	3	1	1	3	2	3	1	1	2	2	3	2	2	1	2	3	2	2	1	3	2	3	2	3	1	1	3	2	3	2	2	2	2	3	1	0	0
81	1	2	2	3	2	1	3	2	3	2	2	1	2	3	2	3	1	3	1	1	1	3	1	1	3	2	2	3	1	2	1	2	3	2	3	2	2	1	2	3	0	0
82	1	2	1	3	2	2	1	3	2	2	3	1	2	3	2	1	3	2	3	2	2	2	2	3	2	3	1	1	3	1	2	3	2	1	3	1	2	3	1	1	0	0
83	1	1	1	3	2	2	2	2	2	2	3	1	3	1	2	3	1	3	1	1	1	3	2	2	3	2	3	1	1	3	2	2	2	2	1	3	2	3	2	3	0	0
84	1	2	1	1	3	2	2	2	2	2	2	1	1	3	1	3	2	1	1	3	2	3	1	3	1	3	2	3	1	3	1	2	2	3	2	3	2	3	2	2	0	0
85	1	3	1	2	3	1	3	2	1	3	2	1	2	1	2	2	3	1	1	3	1	3	2	3	2	2	2	2	2	2	3	2	2	1	3	1	3	1	3	2	0	0
86	1	2	3	1	1	1	1	1	2	1	2	2	3	2	1	3	2	2	3	2	3	1	2	3	2	1	3	1	2	2	3	2	3	2	2	3	1	3	2	3	0	0
87	1	1	3	2	2	2	2	1	1	3	1	1	1	2	3	2	1	3	2	2	3	2	3	1	3	2	1	3	1	3	2	2	2	1	3	2	3	2	2	3	0	0
88	1	2	2	3	1	1	3	1	3	2	3	2	2	2	2	2	2	2	1	3	1	1	1	1	3	2	3	2	1	2	3	2	3	2	3	2	3	1	3	1	0	0
89	1	2	2	3	2	3	2	3	2	3	1	1	3	2	1	3	2	2	2	3	2	1	3	1	2	3	2	1	1	1	1	2	3	2	3	2	1	3	2	1	0	0
90	2	3	1	1	1	2	3	2	1	2	3	2	3	2	3	1	2	3	1	3	1	2	2	2	3	2	1	1	2	3	2	3	1	2	1	2	3	2	3	1	0	0
91	2	1	1	3	2	2	1	3	1	2	3	1	1	3	1	3	2	1	3	2	2	1	2	2	2	1	3	2	3	2	2	1	1	3	2	3	2	3	2	3	0	0
92	2	3	2	2	3	1	2	1	3	2	1	3	2	1	3	2	3	1	2	3	2	1	3	1	2	3	1	2	3	2	2	1	3	2	1	1	1	2	2	3	0	0
93	2	3	2	1	2	1	2	2	3	1	3	2	1	3	2	2	3	1	2	1	3	1	3	2	1	1	3	2	1	3	1	3	2	2	2	2	2	3	1	3	0	0
94	2	2	2	3	1	3	1	3	1	2	3	1	3	2	2	1	1	2	3	2	2	2	3	1	2	3	1	3	1	3	2	2	2	1	2	3	1	2	3	1	0	0
95	1	3	2	2	2	1	2	1	3	2	3	2	2	2	1	3	1	2	3	2	2	3	1	2	3	2	2	3	2	3	1	1	3	1	1	3	2	1	3	1	0	0
96	2	2	1	2	3	1	2	3	1	3	1	2	3	1	1	2	1	1	1	3	2	1	3	1	3	2	3	2	3	2	3	2	2	2	3	1	3	2	2	2	0	0
97	2	2	1	3	2	1	1	2	1	3	2	3	1	2	2	1	1	3	2	2	2	2	3	1	2	3	2	3	2	3	1	3	2	3	2	3	1	3	1	1	0	0
98	1	1	2	3	1	3	1	3	1	3	1	1	3	2	2	2	3	2	3	1	1	2	2	2	3	2	3	2	2	3	2	2	2	2	2	3	1	3	1	1	0	0
99	2	2	3	2	3	1	3	1	2	3	2	1	2	1	3	2	1	3	1	3	2	2	2	1	3	2	2	2	1	3	1	3	1	3	2	2	1	3	1	2	0	0
100	1	3	2	2	1	3	2	2	3	1	2	3	1	2	3	1	3	2	1	2	2	3	1	3	2	2	2	1	2	1	2	3	2	2	3	1	3	1	1	3	0	0
