"sim"	"util"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"
23	26	1	3	1	1	3	2	3	2	2	1	1	3	2	3	1	2	3	2	3	1	2	2	2	3	1	2	3	2	3	2	3	2	1	2	1	1	2	0	0	0	0	0
24	26	1	2	3	1	2	3	2	3	2	2	1	3	1	3	2	1	2	3	1	1	3	1	3	2	2	2	3	1	2	3	2	1	1	2	3	2	2	0	0	0	0	0
25	26	1	3	3	1	2	1	2	2	3	2	1	2	3	2	3	2	2	1	3	2	2	3	2	1	2	3	1	3	2	1	3	2	1	1	1	2	3	0	0	0	0	0
26	26	2	3	1	1	3	2	3	2	2	1	3	1	3	1	3	1	3	2	2	1	3	2	3	2	2	2	1	2	2	2	2	3	2	1	3	1	1	0	0	0	0	0
27	26	2	1	1	2	3	1	2	1	3	2	2	3	1	2	3	2	2	3	2	2	1	2	2	3	1	3	1	3	1	1	3	2	2	3	2	1	3	0	0	0	0	0
28	26	2	3	2	1	3	2	3	1	1	2	2	2	2	3	1	2	3	2	1	1	3	2	1	3	1	2	1	3	2	1	3	2	2	3	2	3	1	0	0	0	0	0
29	26	2	3	2	2	3	2	1	3	1	2	3	1	3	1	2	1	1	3	2	1	1	3	2	2	1	2	1	2	1	3	2	3	2	2	3	2	3	0	0	0	0	0
30	26	3	2	3	2	3	2	2	2	2	2	3	2	1	2	3	1	2	3	1	1	3	1	1	1	2	1	2	3	2	3	1	2	3	1	1	2	3	0	0	0	0	0
31	26	2	2	2	2	3	3	1	2	3	2	2	3	1	2	2	3	1	1	1	3	1	1	3	1	2	3	2	3	2	1	1	2	3	2	2	1	3	0	0	0	0	0
32	26	1	3	2	1	3	1	3	2	2	1	3	2	2	3	2	3	2	2	2	2	1	2	1	1	1	3	2	3	1	1	2	3	2	2	3	1	3	0	0	0	0	0
33	26	2	2	1	3	1	2	3	2	3	2	3	1	3	2	1	1	3	1	3	2	3	2	2	1	2	2	1	1	3	2	3	2	1	3	2	2	1	0	0	0	0	0
34	26	1	2	1	3	2	2	2	3	1	3	2	2	3	2	3	2	2	1	3	2	1	3	2	1	2	3	2	3	2	1	1	1	1	1	3	2	3	0	0	0	0	0
35	26	1	1	2	3	1	1	3	2	3	2	1	2	3	2	2	3	1	2	2	3	2	1	2	2	1	3	1	2	3	2	2	3	1	1	3	2	3	0	0	0	0	0
36	26	2	1	2	3	1	3	2	1	3	1	1	2	2	2	1	1	3	2	3	1	3	1	1	3	2	2	2	3	2	3	2	2	3	2	1	2	3	0	0	0	0	0
37	26	2	3	2	3	2	2	3	2	3	2	3	1	1	2	3	2	1	3	2	1	1	1	1	3	2	1	3	2	2	1	2	3	1	1	2	2	3	0	0	0	0	0
38	26	2	3	1	2	1	1	2	3	1	2	2	3	2	2	2	2	3	2	1	2	3	1	1	2	3	2	3	1	2	3	2	3	1	3	1	1	3	0	0	0	0	0
39	26	1	2	2	3	2	1	1	3	1	3	2	3	2	3	2	2	3	1	3	1	3	2	3	1	2	2	1	2	1	2	2	3	1	3	2	1	2	0	0	0	0	0
40	26	2	3	2	1	3	1	1	2	1	3	1	2	3	1	3	2	2	2	2	3	1	2	3	1	3	1	3	2	1	2	3	2	3	2	1	2	2	0	0	0	0	0
41	26	1	1	2	1	3	1	3	2	3	2	2	3	1	2	3	2	1	2	1	3	2	2	3	2	3	1	2	2	2	2	3	1	1	3	1	2	3	0	0	0	0	0
42	26	2	1	1	1	2	2	2	3	2	3	1	3	1	2	3	1	2	3	2	3	1	2	3	2	3	2	3	1	2	2	3	1	1	2	1	2	3	0	0	0	0	0
43	26	1	3	2	2	3	1	3	2	3	1	1	1	2	3	2	2	1	3	2	3	2	2	2	2	1	3	2	3	1	1	3	1	2	2	3	1	2	0	0	0	0	0
44	26	2	2	3	1	3	1	2	1	1	1	2	3	2	1	3	2	2	2	3	2	1	2	3	2	3	2	2	3	1	3	1	2	1	3	2	3	1	0	0	0	0	0
45	26	2	2	2	3	2	2	1	3	1	2	3	1	1	2	3	1	2	3	1	3	2	1	3	1	3	1	3	2	2	1	2	3	2	3	2	1	2	0	0	0	0	0
46	26	1	2	2	3	2	3	2	2	3	2	3	1	1	3	2	1	3	2	2	3	1	2	1	2	3	2	3	1	2	1	3	2	1	1	2	1	3	0	0	0	0	0
47	26	1	1	2	3	2	3	3	2	3	1	2	2	3	2	1	1	1	1	3	2	1	2	2	3	2	2	2	2	3	2	2	3	1	1	3	1	3	0	0	0	0	0
48	26	2	3	1	1	2	2	3	2	3	2	3	1	1	1	1	1	3	2	2	2	2	3	1	3	1	2	2	3	1	2	3	2	3	1	2	3	2	0	0	0	0	0
49	26	2	2	2	3	2	3	1	3	2	3	2	1	2	3	2	1	3	1	1	3	2	3	2	3	1	1	1	2	2	2	1	1	3	2	1	3	2	0	0	0	0	0
50	26	2	2	1	2	3	2	1	3	2	2	1	1	1	2	3	3	1	2	1	2	1	3	2	3	1	3	1	2	3	2	2	3	2	3	1	2	3	0	0	0	0	0
1	27	2	3	2	2	3	1	3	1	2	2	1	1	3	2	3	2	3	1	3	2	3	2	1	2	1	3	2	2	3	1	1	1	2	2	3	1	3	1	2	0	0	0
2	27	1	1	1	3	2	2	3	1	2	2	2	3	2	3	1	3	1	2	3	1	3	1	3	1	2	3	2	3	1	2	1	3	1	2	2	2	3	2	2	0	0	0
3	27	2	3	2	3	2	1	2	1	1	3	1	2	2	1	3	1	3	1	2	3	2	3	2	1	3	1	2	2	3	1	3	1	1	3	2	3	2	2	2	0	0	0
4	27	1	2	3	1	3	1	1	2	3	2	2	2	1	2	3	2	3	1	1	3	2	1	3	1	2	1	2	3	2	3	2	2	2	3	3	1	1	3	2	0	0	0
5	27	2	3	2	3	1	2	1	2	2	1	3	2	1	2	1	3	1	3	1	1	2	1	2	3	1	1	2	3	1	3	2	3	2	2	3	2	3	2	3	0	0	0
6	27	1	3	1	3	2	3	2	3	1	1	3	2	3	2	2	1	3	2	1	3	2	1	2	3	2	2	2	2	3	2	1	2	1	3	1	1	2	3	1	0	0	0
7	27	1	2	3	1	1	1	2	3	2	2	2	2	3	1	2	3	1	3	1	1	3	2	3	2	1	3	2	1	1	2	3	1	3	2	2	3	2	3	2	0	0	0
8	27	1	1	1	3	2	1	3	2	1	3	1	3	1	2	2	3	1	2	3	2	3	2	1	3	1	3	2	2	2	2	2	3	1	3	2	2	2	1	3	0	0	0
9	27	1	2	3	1	2	1	3	2	3	2	3	2	2	2	3	2	1	3	1	1	1	1	3	1	3	2	3	2	2	1	2	2	1	2	3	1	3	2	3	0	0	0
10	27	2	1	2	3	2	2	2	3	1	2	3	1	3	2	1	1	1	2	1	1	3	2	3	2	3	1	3	1	2	3	2	1	2	3	2	3	2	3	1	0	0	0
11	27	1	2	1	1	3	1	3	1	2	3	1	2	2	3	1	3	2	2	3	2	2	2	3	2	3	1	3	2	1	2	2	3	2	2	3	1	3	1	1	0	0	0
12	27	2	3	2	1	3	2	3	1	3	1	3	2	3	2	1	2	3	1	3	1	1	3	1	2	2	3	2	3	1	2	2	2	2	3	1	2	2	1	1	0	0	0
13	27	1	3	2	3	1	3	1	3	1	2	3	1	2	1	3	1	3	2	2	1	1	3	2	2	2	3	2	2	2	2	1	1	2	2	3	2	3	1	3	0	0	0
14	27	1	1	2	3	1	2	3	1	3	1	3	2	3	2	1	2	3	1	1	3	1	3	1	2	2	2	1	2	3	2	2	3	2	2	2	2	3	1	3	0	0	0
15	27	1	3	2	3	2	3	2	2	3	2	1	3	2	3	1	1	3	1	3	1	2	2	2	2	1	1	3	1	3	2	1	3	2	2	1	3	2	2	1	0	0	0
16	27	1	3	1	2	1	2	3	2	3	2	1	2	2	1	2	3	2	3	2	3	2	3	2	1	3	1	1	3	1	3	1	1	1	2	3	2	3	2	2	0	0	0
17	27	2	2	3	2	1	3	2	2	2	3	1	2	3	2	2	3	1	3	1	1	1	2	2	3	2	1	2	3	2	1	3	2	1	3	1	1	3	1	3	0	0	0
18	27	2	2	1	1	2	2	3	1	3	1	2	3	2	3	1	1	1	2	3	1	2	2	3	2	3	1	1	3	2	3	1	2	3	2	3	2	1	2	3	0	0	0
19	27	1	2	2	3	2	1	3	1	3	1	2	2	3	2	1	2	3	2	1	2	3	2	3	2	3	2	1	1	2	3	2	1	1	3	1	3	1	2	3	0	0	0
20	27	2	3	2	2	2	2	3	2	3	1	2	3	1	3	1	3	2	2	1	3	2	1	2	3	2	3	2	1	1	1	3	1	1	1	3	2	2	1	3	0	0	0
21	27	2	1	2	1	2	3	2	1	3	1	3	2	2	2	3	1	1	3	2	3	2	3	2	2	2	1	3	1	3	2	3	1	1	1	1	2	3	2	3	0	0	0
22	27	2	2	3	2	3	2	2	1	1	3	2	1	2	1	1	3	1	3	2	1	3	2	2	3	1	1	3	2	2	2	3	1	1	3	2	3	2	3	1	0	0	0
23	27	1	3	1	1	3	2	3	2	2	1	1	3	2	3	1	2	3	2	3	1	1	3	2	2	3	1	2	3	2	3	2	3	2	2	1	2	1	1	2	0	0	0
24	27	1	1	3	1	2	2	3	2	3	2	2	1	3	1	3	2	3	1	2	3	1	1	3	1	3	2	2	2	3	1	2	3	2	1	1	2	3	2	2	0	0	0
25	27	1	3	2	3	1	2	1	2	2	3	2	1	1	3	2	3	2	2	1	3	2	2	3	2	1	2	3	1	3	2	1	3	2	1	1	3	1	2	3	0	0	0
26	27	2	3	1	2	1	3	2	3	2	2	1	3	1	3	1	3	1	3	2	2	1	3	2	3	2	2	2	1	1	2	2	3	2	3	2	1	3	1	1	0	0	0
27	27	2	1	2	1	2	3	1	2	1	3	2	2	3	1	2	3	2	2	3	2	2	1	2	2	3	1	3	1	3	1	1	3	1	2	3	2	3	1	3	0	0	0
28	27	2	3	1	1	3	2	3	2	1	1	2	2	2	2	3	1	2	3	2	1	1	3	2	1	3	1	2	1	3	2	1	3	2	3	2	3	2	3	1	0	0	0
29	27	2	2	3	2	2	3	2	1	3	1	2	3	1	3	1	2	1	1	3	2	3	1	1	3	2	1	1	2	1	2	1	3	2	3	2	2	3	2	3	0	0	0
30	27	3	2	3	2	3	2	2	2	2	1	2	3	2	1	2	3	1	2	3	1	1	3	1	1	1	2	3	1	2	3	2	3	1	2	3	1	1	2	3	0	0	0
31	27	2	2	2	2	3	2	3	1	2	3	2	1	3	1	2	2	3	1	1	1	3	1	1	3	1	2	3	2	3	2	1	3	1	2	3	2	2	1	3	0	0	0
32	27	1	3	2	1	3	1	3	2	2	1	3	1	2	3	2	3	2	2	2	2	3	1	2	2	1	1	1	3	2	3	1	1	2	3	2	2	3	1	3	0	0	0
33	27	2	2	1	3	1	2	3	2	2	3	2	3	1	3	2	3	1	1	3	1	3	1	3	2	2	1	2	2	1	1	3	2	3	2	1	3	2	2	1	0	0	0
34	27	1	3	2	1	3	2	1	2	2	3	1	3	2	2	3	2	3	2	2	1	3	2	1	3	2	1	2	3	2	3	2	1	1	1	1	1	3	2	3	0	0	0
35	27	1	1	2	3	1	2	1	3	2	3	2	1	2	3	2	2	3	1	2	2	3	2	1	2	3	2	1	3	1	1	3	2	2	3	1	1	3	2	3	0	0	0
36	27	2	1	2	3	1	3	2	1	3	1	1	2	2	3	2	1	1	3	2	3	1	3	1	1	3	2	2	2	2	3	2	3	2	2	3	2	1	1	3	0	0	0
37	27	2	3	2	3	2	2	3	1	3	2	3	1	1	2	3	2	1	3	2	1	1	1	1	3	2	1	3	2	3	2	2	1	2	3	1	1	2	2	3	0	0	0
38	27	2	3	1	2	1	1	2	3	1	2	2	3	2	2	2	2	3	2	1	2	3	1	3	1	1	3	2	2	3	1	2	3	2	3	1	3	1	1	3	0	0	0
39	27	1	2	2	3	2	1	1	3	1	3	2	2	3	2	3	2	2	3	1	3	1	3	2	3	1	2	1	3	1	2	1	2	2	3	1	3	2	1	2	0	0	0
40	27	2	3	2	1	3	1	1	2	1	3	1	2	3	1	3	2	2	2	3	2	3	1	2	2	3	1	3	1	3	2	1	2	3	2	3	1	1	2	2	0	0	0
41	27	1	1	2	1	3	1	3	2	3	2	2	3	1	2	3	2	1	2	1	3	1	2	3	2	3	1	2	2	2	2	3	2	3	1	1	3	1	2	3	0	0	0
42	27	2	1	1	1	3	2	2	2	3	1	3	1	3	1	2	3	1	2	3	2	2	3	1	2	3	2	3	2	3	1	2	2	3	1	1	2	1	2	3	0	0	0
43	27	1	3	2	2	3	1	3	2	3	1	1	1	2	3	1	3	2	1	3	2	3	2	2	2	2	2	1	3	2	3	1	1	3	1	2	2	3	1	2	0	0	0
44	27	2	2	3	1	3	1	2	1	1	3	1	2	3	2	1	3	2	2	2	3	2	1	1	3	2	2	3	2	2	3	1	3	1	2	1	3	2	3	1	0	0	0
45	27	2	2	2	3	2	2	1	3	1	1	3	1	1	3	2	3	1	2	3	1	3	2	1	3	1	3	1	3	2	2	1	2	3	2	3	2	2	1	2	0	0	0
46	27	1	2	2	3	1	3	2	2	3	2	3	1	1	3	2	2	1	3	2	2	3	1	3	2	1	2	3	2	3	1	2	1	3	2	1	1	2	1	3	0	0	0
47	27	1	1	2	3	2	3	2	3	2	3	1	2	2	3	2	1	1	1	1	3	2	3	1	2	2	3	2	2	2	2	3	2	1	3	1	1	3	1	3	0	0	0
48	27	2	3	1	1	3	2	2	3	2	3	2	3	1	1	1	1	1	3	2	2	2	2	3	1	3	2	1	2	2	3	1	2	3	1	3	1	2	3	2	0	0	0
49	27	2	3	2	2	3	2	3	1	3	2	2	3	2	1	2	3	2	1	3	1	1	3	2	3	2	3	1	1	1	2	2	2	1	1	3	2	1	3	1	0	0	0
50	27	2	2	1	2	3	2	1	3	2	2	1	1	3	1	2	3	2	3	1	2	1	2	1	3	2	3	1	3	1	2	3	2	2	3	1	3	1	2	3	0	0	0
1	28	2	3	2	2	3	1	3	1	2	2	1	1	3	2	3	2	3	1	3	2	3	2	1	2	1	3	2	2	3	2	1	1	1	2	2	3	1	3	1	2	0	0
2	28	1	1	1	3	2	2	3	1	2	2	2	3	2	3	1	3	1	2	3	1	3	2	1	3	1	2	3	2	3	1	2	1	3	1	2	2	2	3	2	2	0	0
3	28	2	3	2	3	2	1	2	1	1	3	1	2	2	1	3	1	3	1	2	3	2	3	2	1	3	1	2	2	3	1	3	1	1	3	2	2	3	2	2	2	0	0
4	28	1	2	3	1	3	1	1	2	3	2	2	2	1	2	3	2	3	1	1	3	2	1	3	1	2	1	2	3	2	3	2	2	2	3	2	3	1	1	3	2	0	0
5	28	2	3	2	3	1	2	1	2	2	1	3	2	1	2	1	3	1	3	1	1	2	2	1	2	3	1	1	2	3	1	3	2	3	2	2	3	2	3	2	3	0	0
6	28	1	3	2	1	3	2	3	2	3	1	1	3	2	3	2	2	1	3	2	1	3	2	1	2	3	2	2	2	2	3	2	1	2	1	3	1	1	2	3	1	0	0
7	28	1	2	3	1	1	1	2	3	2	2	2	2	3	1	2	3	1	3	1	1	3	2	3	2	1	3	2	1	1	2	3	1	3	2	2	3	2	2	3	2	0	0
8	28	1	1	1	3	2	1	3	2	1	3	1	3	1	2	2	2	3	1	2	3	2	3	2	1	3	1	3	2	2	2	2	2	3	1	3	2	2	2	1	3	0	0
9	28	1	2	3	1	2	1	3	2	3	2	3	2	2	2	3	2	1	3	1	1	1	1	3	1	3	2	3	2	2	1	2	2	1	2	3	1	3	2	2	3	0	0
10	28	2	1	2	2	3	2	2	2	3	1	2	3	1	3	2	1	1	1	2	1	1	3	2	3	2	3	1	3	1	2	3	2	1	2	3	2	3	2	3	1	0	0
11	28	1	2	1	1	3	1	3	1	2	3	1	2	2	3	1	3	2	2	3	2	2	2	3	2	3	1	3	2	1	2	2	2	3	2	2	3	1	3	1	1	0	0
12	28	2	3	2	1	3	2	3	1	3	1	3	2	3	2	1	2	3	1	3	1	1	3	1	2	2	3	2	3	1	2	2	2	2	2	3	1	2	2	1	1	0	0
13	28	1	3	2	3	1	3	1	3	1	2	3	1	2	1	3	1	3	2	2	1	1	3	2	2	2	3	2	2	2	2	2	1	1	2	2	3	2	3	1	3	0	0
14	28	1	1	2	2	3	1	2	3	1	3	1	3	2	3	2	1	2	3	1	1	3	1	3	1	2	2	2	1	2	3	2	2	3	2	2	2	2	3	1	3	0	0
15	28	1	3	2	3	2	3	2	2	3	2	1	3	2	3	1	1	3	1	3	1	2	2	2	2	1	1	3	1	3	2	2	1	3	2	2	1	3	2	2	1	0	0
16	28	1	3	1	2	1	2	3	2	3	2	1	2	2	1	2	3	2	3	2	3	2	3	2	1	3	1	1	3	1	3	1	1	1	2	2	3	2	3	2	2	0	0
17	28	2	2	3	2	1	3	2	2	2	3	1	2	3	2	2	3	1	3	1	1	1	2	2	3	2	1	2	3	2	1	3	2	2	1	3	1	1	3	1	3	0	0
18	28	2	2	1	1	2	2	3	1	3	1	2	3	2	3	1	1	1	2	3	1	2	2	3	2	3	1	1	2	3	2	3	1	2	3	2	3	2	1	2	3	0	0
19	28	1	2	2	3	2	2	1	3	1	3	1	2	2	3	2	1	2	3	2	1	2	3	2	3	2	3	2	1	1	2	3	2	1	1	3	1	3	1	2	3	0	0
20	28	2	3	2	2	2	2	3	2	3	1	2	3	1	3	1	3	2	2	2	1	3	2	1	2	3	2	3	2	1	1	1	3	1	1	1	3	2	2	1	3	0	0
21	28	2	1	2	1	2	3	2	1	3	1	3	2	2	2	3	1	1	3	2	3	2	3	2	2	2	1	3	2	1	3	2	3	1	1	1	1	2	3	2	3	0	0
22	28	2	2	3	2	3	2	2	2	1	1	3	2	1	2	1	1	3	1	3	2	1	3	2	2	3	1	1	3	2	2	2	3	1	1	3	2	3	2	3	1	0	0
23	28	1	3	1	1	3	2	3	2	2	1	1	3	2	3	1	2	3	2	3	1	1	3	2	2	3	1	2	3	2	3	2	3	2	2	1	2	1	1	2	2	0	0
24	28	1	1	3	1	2	2	3	2	3	2	2	1	3	1	3	2	2	3	1	2	3	1	1	3	1	3	2	2	2	3	1	2	3	2	1	1	2	3	2	2	0	0
25	28	1	3	2	3	1	2	1	2	2	2	3	2	1	1	3	2	3	2	2	1	3	2	2	3	2	1	2	3	1	3	2	1	3	2	1	1	3	1	2	3	0	0
26	28	2	3	1	2	1	3	2	3	2	2	2	1	3	1	3	1	3	1	3	2	2	1	3	2	3	2	2	2	1	1	2	2	3	2	3	2	1	3	1	1	0	0
27	28	2	1	2	1	2	3	1	2	1	3	2	2	2	3	1	2	3	2	2	3	2	2	1	2	2	3	1	3	1	3	1	1	3	1	2	3	2	3	1	3	0	0
28	28	2	3	1	1	3	2	3	2	1	1	2	2	2	2	3	1	2	3	2	1	1	3	2	1	3	1	2	1	3	2	1	3	2	3	2	2	3	2	3	1	0	0
29	28	2	2	3	2	2	3	2	1	3	1	2	3	1	3	1	2	1	1	3	2	3	1	1	3	2	1	1	2	1	2	1	3	2	3	2	2	2	3	2	3	0	0
30	28	2	3	2	3	2	3	2	2	2	2	1	2	3	2	1	2	3	1	2	3	1	1	3	1	1	1	2	3	1	2	3	2	3	1	2	3	1	1	2	3	0	0
31	28	2	2	2	2	2	3	2	3	1	2	3	2	1	3	1	2	2	3	1	1	1	3	1	1	3	1	2	3	2	3	2	1	3	1	2	3	2	2	1	3	0	0
32	28	1	3	2	1	3	1	3	2	2	2	1	3	1	2	3	2	3	2	2	2	2	3	1	2	2	1	1	1	3	2	3	1	1	2	3	2	2	3	1	3	0	0
33	28	2	2	1	3	1	2	3	2	2	3	2	3	1	3	2	3	1	1	3	1	3	1	3	2	2	1	2	2	1	2	1	3	2	3	2	1	3	2	2	1	0	0
34	28	1	3	2	1	3	2	2	1	2	2	3	1	3	2	2	3	2	3	2	2	1	3	2	1	3	2	1	2	3	2	3	2	1	1	1	1	1	3	2	3	0	0
35	28	1	1	2	3	1	2	1	3	2	3	2	1	2	3	2	2	3	1	2	2	3	2	1	2	3	2	1	3	1	1	3	2	2	3	1	1	3	2	2	3	0	0
36	28	2	1	2	3	1	3	2	1	3	1	1	2	2	3	2	1	1	3	2	3	1	3	1	1	3	2	2	2	2	3	2	2	3	2	2	3	2	1	1	3	0	0
37	28	2	3	2	3	2	2	3	1	3	2	3	1	1	2	3	2	1	3	2	1	1	1	1	3	2	1	3	2	3	2	2	1	2	3	1	1	2	2	2	3	0	0
38	28	2	3	1	2	1	1	2	3	1	2	2	3	2	2	2	2	2	3	2	1	2	3	1	3	1	1	3	2	2	3	1	2	3	2	3	1	3	1	1	3	0	0
39	28	1	2	2	3	2	1	1	3	1	3	2	2	3	2	3	2	2	3	1	3	1	3	2	3	1	2	1	3	1	2	2	1	2	2	3	1	3	2	1	2	0	0
40	28	2	3	2	1	3	1	1	2	1	3	1	2	3	1	3	2	2	2	3	2	3	1	2	2	2	3	1	3	1	3	2	1	2	3	2	3	1	1	2	2	0	0
41	28	1	1	2	1	3	1	3	2	3	2	2	3	2	1	2	3	2	1	2	1	3	1	2	3	2	3	1	2	2	2	2	3	2	3	1	1	3	1	2	3	0	0
42	28	2	1	1	1	3	2	2	2	2	3	1	3	1	3	1	2	3	1	2	3	2	2	3	1	2	3	2	3	2	3	1	2	2	3	1	1	2	1	2	3	0	0
43	28	1	3	2	2	3	1	3	2	3	1	1	1	2	2	3	1	3	2	1	3	2	3	2	2	2	2	2	1	3	2	3	1	1	3	1	2	2	3	1	2	0	0
44	28	2	2	2	3	1	3	1	2	1	1	3	1	2	3	2	1	3	2	2	2	3	2	1	1	3	2	2	3	2	2	3	1	3	1	2	1	3	2	3	1	0	0
45	28	2	2	2	2	3	2	2	1	3	1	1	3	1	1	3	2	3	1	2	3	1	3	2	1	3	1	3	1	3	2	2	1	2	3	2	3	2	2	1	2	0	0
46	28	1	2	2	3	1	3	2	2	3	2	3	1	1	3	2	2	1	3	2	2	3	1	3	2	1	2	3	2	3	1	2	2	1	3	2	1	1	2	1	3	0	0
47	28	1	1	2	3	2	3	2	3	2	3	1	2	2	3	2	1	1	1	1	3	2	3	1	2	2	3	2	2	2	2	3	2	2	1	3	1	1	3	1	3	0	0
48	28	2	3	1	1	3	2	2	3	2	3	2	3	1	1	1	1	1	3	2	2	2	2	3	2	1	3	2	1	2	2	3	1	2	3	1	3	1	2	3	2	0	0
49	28	2	3	2	2	3	2	3	1	3	2	2	3	2	1	2	3	2	1	3	1	1	3	2	3	2	3	1	1	1	2	2	2	2	1	1	3	2	1	3	1	0	0
50	28	2	2	1	2	3	2	1	2	3	2	2	1	1	3	1	2	3	2	3	1	2	1	2	1	3	2	3	1	3	1	2	3	2	2	3	1	3	1	2	3	0	0
